Sample,proportion,sampletype,generation,competid,population,env,Cq
A1,1,std,NA,NA,NA,NA,27.3737942272475
A2,0.9,std,NA,NA,NA,NA,27.1293578319332
A3,0.8,std,NA,NA,NA,NA,27.0847676663873
A4,0.7,std,NA,NA,NA,NA,26.793984497446
A5,0.6,std,NA,NA,NA,NA,26.6970507052586
A6,0.5,std,NA,NA,NA,NA,26.329927573502
A7,0.4,std,NA,NA,NA,NA,26.1754195941831
A8,0.3,std,NA,NA,NA,NA,26.18832009935
A9,0.2,std,NA,NA,NA,NA,26.4275650418035
A10,0.1,std,NA,NA,NA,NA,26.4134765063728
A11,0,std,NA,NA,NA,NA,26.2685338683775
A12,NA,negcont,NA,NA,NA,NA,35.1874953821077
B1,1,std,NA,NA,NA,NA,27.0517852125013
B2,0.9,std,NA,NA,NA,NA,26.7870113517599
B3,0.8,std,NA,NA,NA,NA,26.7049600255764
B4,0.7,std,NA,NA,NA,NA,26.3232726172207
B5,0.6,std,NA,NA,NA,NA,26.1937726077326
B6,0.5,std,NA,NA,NA,NA,25.9506780463109
B7,0.4,std,NA,NA,NA,NA,25.6200556418973
B8,0.3,std,NA,NA,NA,NA,25.9266882980967
B9,0.2,std,NA,NA,NA,NA,25.7896839114944
B10,0.1,std,NA,NA,NA,NA,25.813559856786
B11,0,std,NA,NA,NA,NA,25.6336695065392
B12,1,poscont,NA,NA,NA,NA,27.0462009591192
C1,NA,sample,1,7,61,0.015,29.5238448140422
C2,NA,sample,1,7,62,0.015,29.3547783440075
C3,NA,sample,1,7,63,0.015,29.4733257387604
C4,NA,sample,1,7,64,0.015,28.7805043040366
C5,NA,sample,1,7,65,0.015,29.3037347566535
C6,NA,sample,1,7,66,1.5,26.6824865658248
C7,NA,sample,1,7,67,1.5,26.8936894722419
C8,NA,sample,1,7,68,1.5,26.7168168086815
C9,NA,sample,1,7,69,1.5,27.5819793119229
C10,NA,sample,1,7,70,1.5,26.9807685117944
C12,0,poscont,NA,NA,NA,NA,26.4846355795192
D1,NA,sample,1,8,71,0.015,30.3084249722052
D2,NA,sample,1,8,72,0.015,29.559684079736
D3,NA,sample,1,8,73,0.015,30.3574777146629
D4,NA,sample,1,8,74,0.015,29.6851384550298
D5,NA,sample,1,8,75,0.015,29.5795027560962
D6,NA,sample,1,8,76,1.5,26.5285406205072
D7,NA,sample,1,8,77,1.5,26.8396854456788
D8,NA,sample,1,8,78,1.5,27.1756044466103
D9,NA,sample,1,8,79,1.5,26.7047079437735
D10,NA,sample,1,8,80,1.5,27.3475619507879
E1,NA,sample,2,7,61,0.015,29.8130142809968
E2,NA,sample,2,7,62,0.015,29.0835879139409
E3,NA,sample,2,7,63,0.015,29.3747372339843
E4,NA,sample,2,7,64,0.015,29.2832710240062
E5,NA,sample,2,7,65,0.015,29.387048776081
E6,NA,sample,2,7,66,1.5,24.6966332700652
E7,NA,sample,2,7,67,1.5,24.066115834648
E8,NA,sample,2,7,68,1.5,25.0718417427877
E9,NA,sample,2,7,69,1.5,24.6627593589947
E10,NA,sample,2,7,70,1.5,26.3442514644959
F1,NA,sample,2,8,71,0.015,29.5755895709267
F2,NA,sample,2,8,72,0.015,29.0985756954149
F3,NA,sample,2,8,73,0.015,29.6915283543828
F4,NA,sample,2,8,74,0.015,29.6249852444078
F5,NA,sample,2,8,75,0.015,29.2807330743987
F6,NA,sample,2,8,76,1.5,23.4762100134585
F7,NA,sample,2,8,77,1.5,24.9330254887587
F8,NA,sample,2,8,78,1.5,24.4037650573288
F9,NA,sample,2,8,79,1.5,24.55834697211
F10,NA,sample,2,8,80,1.5,26.2589100036645
