Experiment,date_start,generation,g_sucrose,F1,F2,condition,Tube,replicate,tube_rep,number_colonies,date_plated,date_count,efficiency,operator
Exp6,08.04.21,F2,1.5,1.5,NA,C1,88,2,NA,29,NA,NA,y,Ilkka
Exp6,08.04.21,F2,1.5,1.5,NA,C1,89,1,NA,34,NA,NA,y,Ilkka
Exp6,08.04.21,F2,1.5,1.5,NA,C1,89,2,NA,39,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,90,1,NA,57,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,90,2,NA,56,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,91,1,NA,46,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,91,2,NA,50,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,92,1,NA,48,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,92,2,NA,39,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,93,1,NA,50,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,93,2,NA,47,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,94,1,NA,51,NA,NA,y,Ilkka
Exp6,08.04.21,F2,0.015,0.015,NA,C3,94,2,NA,69,NA,NA,y,Ilkka
Exp6,08.04.21,F3,1.5,0.015,1.5,C4,95,1,NA,61,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,0.015,1.5,C4,96,1,NA,60,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,0.015,1.5,C4,97,1,NA,69,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,0.015,1.5,C4,98,1,NA,56,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,0.015,1.5,C4,99,1,NA,39,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,1.5,1.5,C1,100,1,NA,57,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,1.5,1.5,C1,101,1,NA,62,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,1.5,1.5,C1,102,1,NA,62,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,1.5,1.5,C1,103,1,NA,49,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,1.5,1.5,1.5,C1,104,1,NA,57,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,0.015,0.015,C3,105,1,NA,51,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,0.015,0.015,C3,106,1,NA,41,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,0.015,0.015,C3,107,1,NA,47,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,0.015,0.015,C3,108,1,NA,58,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,0.015,0.015,C3,109,1,NA,53,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,1.5,0.015,C2,110,1,NA,29,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,1.5,0.015,C2,111,1,NA,41,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,1.5,0.015,C2,112,1,NA,36,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,1.5,0.015,C2,113,1,NA,54,NA,16.04.21,y,Ilkka
Exp6,08.04.21,F3,0.015,1.5,0.015,C2,114,1,NA,41,NA,16.04.21,y,Ilkka
